sku,alchool,alt_image,animal,area,australian_like,awards,blended_grapes,bottleml,box_size,cellar_practice,country_of_manufacture,cost,custom_block,custom_label,filtration,florealnew,fruit,international_awards,is_featured,kind,kind_byo_organic,main_grape,manufacturer,method,mineral,myob_btb,myob_btc_h,oak1,pairing,price,product_name,region,second_fermentation,sparkling_residual_sugar,spontaneous_fermentation1,skin_contact,sku_short,spice,stripe_sub_enabled,sw_featured,tastingnotes,vegetal,vineyard_management,Vntg,wild_ferment,wine_producer
ILFOLLO,"animal=1,bottleml=750,box_size=12,cellar_practice=Conventional,cost=5.900000,filtration=Yes,florealnew=2,fruit=2,kind_byo_organic=Conventional Wine,main_grape=Glera,manufacturer=Il Follo,mayob_btb=43340,mineral=2,myob_btc_h=43350,oak1=No,pairing=Apetizer,region=Veneto,second_fermentation=Tank (Metodo Martinotti),skin_contact=No,sku_short=ILFOLLO,sparkling_residual_sugar=Metodo Charmat,spice=1,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vegetal=1,vineyard_management=Sustainable,wine_producer=Il Follo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMANGRUJ05-1,"alchool=10,alt_image=/a/n/anghelo_rujo_edited-pixlr_copy.jpg,animal=2,area=Alghero,box_size=1,cellar_practice=Barrel aged|Conventional|Fortified,cost=39.520000,filtration=Yes,florealnew=1,fruit=2,kind_byo_organic=Conventional Wine,main_grape=Cannonau,manufacturer=Sella & Mosca,mayob_btb=43340,mineral=2,myob_btc_h=43350,oak1=Yes,pairing=Chocolate,region=Sardegna,skin_contact=No,sku_short=SMANGRUJ,spice=5,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vegetal=1,Vntg=2005,wine_producer=Sella & Mosca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLBCANGR15,"alchool=10,alt_image=/c/a/cangrande_test.jpg,area=Gallura,blended_grapes=Cannonau,bottleml=750,box_size=6,cellar_practice=Minimum S02,filtration=Yes,fruit=5,kind_byo_organic=Organic Wine,main_grape=Muristellu,manufacturer=Tenute Olbios,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Red Meat,region=Sardegna,skin_contact=No,sku_short=OLBCANGR,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2015,wine_producer=Tenute Olbios",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAMFIA19,"alchool=10,alt_image=/p/i/pierluigi_zampaglione_fiano_don_chisciotte_zamfia19.jpg,area=Irpinia,bottleml=750,box_size=6,cellar_practice=Minimum S02|Skin contact|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Fiano,manufacturer=Pierluigi Zampaglione,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=White Meat,region=Campania,skin_contact=Yes,sku_short=ZAMFIA,spontaneous_fermentation1=Yes,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Pierluigi Zampaglione",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VINMUL18,"alchool=10,alt_image=/r/u/rudi_vindimian_muller_turgau_vinmul18.png,area=Vallagarina,bottleml=750,box_size=12,cellar_practice=Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Muller Thurgau,manufacturer=Rudi Vindimian,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Trentino,skin_contact=No,sku_short=VINMUL,spontaneous_fermentation1=Yes,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=Rudi Vindimian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRACLA16,"alchool=10,alt_image=/p/r/pracla16_podere_pradarolo_vej_metodo_classico.jpeg,area=Parma,bottleml=750,box_size=6,cellar_practice=No added S02|Skin contact|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Natural Wine,main_grape=Malvasia di Candia Aromatica,manufacturer=Podere Pradarolo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Cured meat,region=Emilia-Romagna,second_fermentation=Bottle (Metodo Classico)|16 months on lees,skin_contact=Yes,sku_short=PRACLA,sparkling_residual_sugar=Metodo Classico, 16 months on less,spontaneous_fermentation1=Yes,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2016,wine_producer=Podere Pradarolo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VANER18,"alchool=10,alt_image=/v/a/valdibella_kerasos_valner18.jpg,bottleml=750,box_size=12,cellar_practice=Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Nero D'Avola,manufacturer=Valdibella,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Red Meat,region=Sicilia,skin_contact=Yes,sku_short=VANER,spontaneous_fermentation1=Yes,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=Valdibella",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPROBR,"alchool=10,animal=1,area=Chianti,bottleml=750,box_size=12,cellar_practice=Conventional,cost=8.060000,filtration=Yes,florealnew=2,fruit=2,kind_byo_organic=Conventional Wine,main_grape=Glera,manufacturer=Angelo Bortolin,mayob_btb=43340,mineral=2,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Veneto,second_fermentation=Tank (Metodo Martinotti),skin_contact=No,sku_short=ABPROBR,sparkling_residual_sugar=Metodo Charmat,spice=1,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,tastingnotes=BlaBlaBla molto Bla,vegetal=1,vineyard_management=Sustainable,wine_producer=Angelo Bortolin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSLGINO19,"animal=1,area=Castelli di Jesi,bottleml=750,box_size=12,cellar_practice=Concrete|Minimum S02|Wild ferment,cost=5.700000,filtration=Yes,florealnew=2,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Verdicchio,manufacturer=Fattoria San Lorenzo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Marche,skin_contact=No,sku_short=FSLGINO,spice=1,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vegetal=2,vineyard_management=Biodynamic,Vntg=2019,wine_producer=Fattoria San Lorenzo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSLROS18,"alchool=10,animal=1,area=Castelli di Jesi,blended_grapes=Sangiovese,bottleml=750,box_size=12,cellar_practice=Minimum S02,cost=5.700000,filtration=Yes,florealnew=1,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Montepulciano,manufacturer=Fattoria San Lorenzo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Marche,skin_contact=No,sku_short=FSLROS,spice=2,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vegetal=1,vineyard_management=Biodynamic,Vntg=2018,wine_producer=Fattoria San Lorenzo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
